"fielding.start","fielding.end","mid_date","pollster","sample","what","y"
2018-04-05,2018-04-08,2018-04-06,"Essential",1033,"LNP",38
2018-04-19,2018-04-22,2018-04-20,"Newspoll (online & robo)",2068,"LNP",38
2018-04-19,2018-04-22,2018-04-20,"Essential",1026,"LNP",37
2018-05-01,2018-05-01,2018-05-01,"ReachTEL",2400,"LNP",36
2018-05-03,2018-05-06,2018-05-04,"Essential",1033,"LNP",38
2018-05-10,2018-05-13,2018-05-11,"Newspoll (online & robo)",1728,"LNP",39
2018-05-09,2018-05-12,2018-05-10,"Ipsos",1200,"LNP",36
2018-05-10,2018-05-13,2018-05-11,"Essential",1027,"LNP",38
2018-05-17,2018-05-20,2018-05-18,"Essential",1025,"LNP",40
2018-05-24,2018-05-27,2018-05-25,"Newspoll (online & robo)",1591,"LNP",38
2018-05-31,2018-05-31,2018-05-31,"ReachTEL",2400,"LNP",35
2018-06-02,2018-06-02,2018-06-02,"ReachTEL",2000,"LNP",35
2018-05-31,2018-06-03,2018-06-01,"Essential",1025,"LNP",36
2018-06-14,2018-06-17,2018-06-15,"Essential",1027,"LNP",38
2018-06-14,2018-06-17,2018-06-15,"Newspoll (online & robo)",1660,"LNP",38
2018-06-20,2018-06-23,2018-06-21,"Ipsos",1200,"LNP",35
2018-06-28,2018-07-01,2018-06-29,"Essential",1030,"LNP",40
2018-06-28,2018-07-01,2018-06-29,"Newspoll (online & robo)",1609,"LNP",39
2018-07-12,2018-07-15,2018-07-13,"Essential",1014,"LNP",40
2018-07-12,2018-07-15,2018-07-13,"Newspoll (online & robo)",1644,"LNP",38
2018-07-18,2018-07-21,2018-07-19,"Ipsos",1200,"LNP",39
2018-07-26,2018-07-29,2018-07-27,"Essential",1022,"LNP",41
2018-07-26,2018-07-29,2018-07-27,"Newspoll (online & robo)",1704,"LNP",39
2018-08-02,2018-08-02,2018-08-02,"ReachTEL",2453,"LNP",35
2018-08-09,2018-08-12,2018-08-10,"Essential",1032,"LNP",39
2018-08-09,2018-08-12,2018-08-10,"Newspoll (online & robo)",1607,"LNP",37
2018-08-15,2018-08-18,2018-08-16,"Ipsos",1201,"LNP",33
2018-08-18,2018-08-19,2018-08-18,"Morgan F2F",886,"LNP",39
2018-08-24,2018-08-25,2018-08-24,"Newspoll (online & robo)",1783,"LNP",33
2018-08-24,2018-08-26,2018-08-25,"Essential",1035,"LNP",35
2018-08-25,2018-08-26,2018-08-25,"Morgan F2F",821,"LNP",36.5
2018-09-06,2018-09-09,2018-09-07,"Essential",1050,"LNP",36
2018-09-06,2018-09-09,2018-09-07,"Newspoll (online & robo)",1653,"LNP",34
2018-09-12,2018-09-15,2018-09-13,"Ipsos",1200,"LNP",34
2018-09-20,2018-09-23,2018-09-21,"Essential",1030,"LNP",37
2018-09-20,2018-09-23,2018-09-21,"Newspoll (online & robo)",1675,"LNP",36
2018-10-04,2018-10-07,2018-10-05,"Essential",1025,"LNP",38
2018-10-10,2018-10-13,2018-10-11,"Ipsos",1200,"LNP",35
2018-10-11,2018-10-13,2018-10-12,"Newspoll (online & robo)",1707,"LNP",37
2018-10-18,2018-10-21,2018-10-19,"Essential",1027,"LNP",38
2018-10-25,2018-10-28,2018-10-26,"Newspoll (online & robo)",1646,"LNP",36
2018-11-01,2018-11-04,2018-11-02,"Essential",1028,"LNP",36
2018-11-08,2018-11-11,2018-11-09,"Newspoll (online & robo)",1802,"LNP",35
2018-11-14,2018-11-17,2018-11-15,"Ipsos",1200,"LNP",37
2018-11-15,2018-11-18,2018-11-16,"Essential",1027,"LNP",37
2018-11-22,2018-11-25,2018-11-23,"Newspoll (online & robo)",1717,"LNP",34
2018-11-29,2018-12-02,2018-11-30,"Essential",1032,"LNP",38
2018-12-06,2018-12-09,2018-12-07,"Newspoll (online & robo)",1731,"LNP",35
2018-12-12,2018-12-15,2018-12-13,"Ipsos",1200,"LNP",36
2018-12-13,2018-12-16,2018-12-14,"Essential",1026,"LNP",37
2019-01-09,2019-01-13,2019-01-11,"Essential",1089,"LNP",38
2019-01-24,2019-01-27,2019-01-25,"Newspoll (online & robo)",1634,"LNP",37
2019-01-23,2019-01-31,2019-01-27,"Essential",1652,"LNP",38
2019-02-02,2019-02-10,2019-02-06,"Morgan F2F",1673,"LNP",34.5
2019-02-07,2019-02-10,2019-02-08,"Newspoll (online & robo)",1567,"LNP",37
2019-02-06,2019-02-11,2019-02-08,"Essential",1067,"LNP",34
2019-02-12,2019-02-15,2019-02-13,"Ipsos",1200,"LNP",38
2019-02-16,2019-02-24,2019-02-20,"Morgan F2F",1703,"LNP",37
2019-02-21,2019-02-24,2019-02-22,"Newspoll (online & robo)",1582,"LNP",37
2019-02-10,2019-02-25,2019-02-17,"Essential",1085,"LNP",38
2019-02-20,2019-02-25,2019-02-22,"Essential",1085,"LNP",38
2019-03-07,2019-03-10,2019-03-08,"Newspoll (online & robo)",1610,"LNP",36
2019-03-06,2019-03-11,2019-03-08,"Essential",1089,"LNP",37
2019-03-20,2019-03-25,2019-03-22,"Essential",1085,"LNP",39
2019-03-25,2019-03-28,2019-03-26,"Newspoll (online & robo)",2224,"LNP",37
2019-03-24,2019-04-01,2019-03-28,"Morgan F2F",1477,"LNP",38.5
2019-04-03,2019-04-06,2019-04-04,"Ipsos",1200,"LNP",37
2019-04-04,2019-04-07,2019-04-05,"Newspoll (online & robo)",1799,"LNP",38
2019-04-06,2019-04-07,2019-04-06,"Morgan F2F",829,"LNP",37
2019-04-04,2019-04-08,2019-04-06,"Essential",1069,"LNP",38
2019-04-11,2019-04-14,2019-04-12,"Newspoll (online & robo)",1697,"LNP",39
2019-04-20,2019-04-21,2019-04-20,"Morgan F2F",707,"LNP",39
2019-04-23,2019-04-25,2019-04-24,"Newspoll (online & robo)",1002,"LNP",37
2019-04-26,2019-04-28,2019-04-27,"Newspoll (online & robo)",2136,"LNP",38
2019-04-27,2019-04-28,2019-04-27,"Morgan F2F",826,"LNP",39.5
2019-04-25,2019-04-29,2019-04-27,"Essential",1010,"LNP",39
2019-05-01,2019-05-04,2019-05-02,"Ipsos",1207,"LNP",36
2019-05-02,2019-05-05,2019-05-03,"Newspoll (online & robo)",1846,"LNP",38
2019-05-04,2019-05-05,2019-05-04,"Morgan F2F",826,"LNP",38.5
2019-05-02,2019-05-06,2019-05-04,"Essential",1079,"LNP",38
2019-05-09,2019-05-11,2019-05-10,"Newspoll (online & robo)",1644,"LNP",39
2019-05-10,2019-05-12,2019-05-11,"Morgan F2F",1265,"LNP",38.5
2019-05-10,2019-05-14,2019-05-12,"Essential",1201,"LNP",38.5
2019-05-12,2019-05-15,2019-05-13,"Ipsos",1842,"LNP",39
2019-05-13,2019-05-15,2019-05-14,"Newspoll (online & robo)",1004,"LNP",39
2019-05-15,2019-05-16,2019-05-15,"Newspoll (online & robo)",3038,"LNP",38
2013-09-19,2013-09-22,2013-09-20,"Essential",1083.5,"LNP",42.03045685
2013-09-12,2013-09-15,2013-09-13,"Essential",1071.4,"LNP",43.618202
2013-09-21,2013-09-22,2013-09-21,"Morgan MM",2999,"LNP",43.5
2013-09-26,2013-09-29,2013-09-27,"Essential",1015.3,"LNP",43.98699892
